Tanggal,Tn,Tx,Tavg,RH_avg,RR,ss,ff_x,ddd_x,ff_avg,ddd_car
2014-09-02,17.0,26.8,21.5,87.0,0.8,3.0,3.0,320.0,1.0,N 
2014-09-03,17.0,27.4,21.9,83.0,0.0,5.4,3.0,330.0,1.0,N 
2014-09-04,17.0,26.8,21.2,78.0,0.0,7.6,2.0,330.0,0.0,N 
2014-09-05,17.0,27.2,20.8,68.0,0.0,4.4,2.0,300.0,0.0,N 
2014-09-06,17.0,25.6,21.0,83.0,0.0,7.4,2.0,310.0,0.0,N 
2014-09-07,17.0,28.0,22.3,82.0,0.0,7.2,2.0,50.0,0.0,N 
2014-09-08,17.0,26.4,21.1,82.0,0.0,6.7,2.0,300.0,0.0,N 
2014-09-09,18.0,26.8,21.8,77.0,0.0,5.8,2.0,290.0,0.0,N 
2014-09-10,17.0,26.8,20.9,81.0,0.0,5.5,3.0,270.0,1.0,N 
2014-09-11,17.0,26.8,20.6,80.0,0.0,7.0,3.0,320.0,1.0,N 
2014-09-12,17.0,27.6,21.5,77.0,0.0,6.1,3.0,280.0,0.0,N 
2014-09-13,17.0,26.4,21.1,81.0,0.0,6.6,2.0,110.0,0.0,N 
2014-09-14,17.0,27.8,21.4,78.0,0.0,8.0,2.0,280.0,0.0,N 
2014-09-15,17.0,26.6,21.0,72.0,0.0,8.6,2.0,300.0,0.0,N 
2014-09-16,16.0,27.6,21.0,69.0,0.0,6.5,2.0,250.0,0.0,N 
2014-09-17,17.0,27.7,21.8,73.0,0.0,7.6,2.0,300.0,0.0,N 
2014-09-18,17.0,28.9,22.7,74.0,0.0,9.6,3.0,40.0,1.0,N 
2014-09-19,19.0,28.6,23.7,72.0,0.0,9.2,2.0,40.0,0.0,N 
2014-09-20,19.0,25.4,21.1,88.0,0.0,6.6,2.0,300.0,0.0,N 
2014-09-21,17.0,27.6,21.3,82.0,32.4,3.6,2.0,320.0,0.0,N 
2014-09-22,17.0,27.2,22.0,69.0,0.0,8.5,3.0,160.0,1.0,N 
2014-09-23,16.0,27.7,21.8,72.0,0.0,8.9,4.0,60.0,1.0,N 
2014-09-24,17.0,29.0,22.9,58.0,0.0,9.2,4.0,60.0,1.0,N 
2014-09-25,18.0,26.6,21.6,74.0,0.0,9.7,3.0,280.0,0.0,N 
2014-09-26,17.0,26.8,21.0,65.0,0.0,5.4,1.0,60.0,0.0,N 
2014-09-27,16.0,28.0,21.6,62.0,0.0,6.6,2.0,260.0,0.0,N 
2014-09-28,17.0,27.2,21.8,73.0,0.0,8.0,2.0,260.0,0.0,N 
2014-09-29,17.0,27.4,21.1,87.0,0.0,5.9,3.0,320.0,1.0,N 
2014-09-30,17.0,27.0,21.2,79.0,0.4,6.4,3.0,320.0,0.0,N 
2014-10-01,18.0,25.7,21.1,84.0,0.0,5.6,2.0,310.0,1.0,N 
2014-10-02,18.0,26.4,21.3,85.0,0.0,3.8,2.0,310.0,0.0,N 
2014-10-03,18.0,26.7,21.2,82.0,0.0,4.8,2.0,260.0,0.0,N 
2014-10-04,18.0,27.6,21.9,76.0,0.0,4.9,2.0,90.0,0.0,N 
2014-10-05,18.0,26.7,20.9,78.0,0.0,7.0,0.0,320.0,0.0,N 
2014-10-06,18.0,25.0,20.6,83.0,0.0,5.4,2.0,310.0,0.0,N 
2014-10-07,18.0,27.4,21.9,77.0,0.0,0.7,2.0,330.0,0.0,N 
2014-10-08,18.0,27.2,21.2,83.0,2.5,3.9,3.0,310.0,1.0,N 
2014-10-09,16.0,28.1,22.3,72.0,5.9,1.5,3.0,290.0,1.0,N 
2014-10-10,17.0,29.4,22.0,66.0,0.0,7.1,4.0,50.0,1.0,N 
2014-10-11,17.0,31.0,23.8,61.0,0.0,8.4,3.0,60.0,0.0,N 
2014-10-12,18.0,27.8,22.7,76.0,0.0,8.0,1.0,310.0,0.0,N 
2014-10-13,17.0,27.5,21.5,82.0,0.0,6.0,3.0,300.0,0.0,N 
2014-10-14,19.0,26.6,21.5,87.0,14.3,4.5,3.0,310.0,1.0,N 
2014-10-15,19.0,26.1,20.9,89.0,0.0,2.3,2.0,320.0,0.0,N 
2014-10-16,19.0,28.5,22.4,85.0,18.8,3.9,3.0,80.0,1.0,N 
2014-10-17,18.0,28.4,21.7,85.0,0.4,7.4,2.0,330.0,1.0,N 
2014-10-18,18.0,29.1,23.1,76.0,0.0,8.4,3.0,70.0,1.0,N 
2014-10-19,18.0,28.0,22.3,79.0,0.0,6.3,2.0,310.0,0.0,N 
2014-10-20,19.0,28.4,22.9,75.0,0.0,3.8,2.0,40.0,1.0,N 
2014-10-21,19.0,27.9,22.7,78.0,0.0,7.6,3.0,80.0,1.0,N 
