Tanggal,Tn,Tx,Tavg,RH_avg,RR,ss,ff_x,ddd_x,ff_avg,ddd_car
2014-09-11,22.0,33.0,26.5,71.0,0.0,7.3,3.0,360.0,2.0,N 
2014-09-12,21.0,33.4,26.2,68.0,0.0,6.7,5.0,45.0,2.0,N 
2014-09-13,21.0,33.6,26.2,71.0,0.0,7.5,4.0,360.0,3.0,W 
2014-09-14,21.0,34.2,27.0,68.0,0.0,7.5,4.0,270.0,2.0,W 
2014-09-15,20.0,33.6,25.6,72.0,0.0,7.9,4.0,315.0,3.0,NW
2014-09-16,20.0,33.2,26.3,66.0,0.0,8.0,4.0,45.0,3.0,NE
2014-09-17,20.0,33.2,26.1,68.0,0.0,8.0,4.0,45.0,3.0,NE
2014-09-18,21.0,33.4,26.1,74.0,0.0,8.0,8.0,45.0,3.0,NE
2014-09-19,22.0,33.2,27.0,71.0,0.0,8.0,5.0,45.0,4.0,NE
2014-09-20,23.0,33.4,25.9,80.0,0.0,5.7,3.0,360.0,3.0,NW
2014-09-21,21.0,33.4,24.8,81.0,5.7,7.7,8.0,315.0,2.0,N 
2014-09-22,22.0,33.4,27.0,63.0,4.0,8.0,5.0,45.0,3.0,NE
2014-09-23,20.0,33.2,25.9,66.0,0.0,8.0,6.0,45.0,3.0,NE
2014-09-24,21.0,36.0,27.4,61.0,0.0,8.0,8.0,45.0,3.0,NE
2014-09-25,20.0,34.0,26.0,69.0,0.0,7.2,4.0,315.0,4.0,N 
2014-09-26,21.0,34.2,26.7,64.0,0.0,7.8,4.0,360.0,2.0,N 
2014-09-27,19.0,34.8,25.7,63.0,0.0,8.0,4.0,45.0,3.0,NE
2014-09-28,21.0,33.2,26.2,74.0,0.0,7.1,8.0,360.0,3.0,NW
2014-09-29,22.0,34.2,26.9,74.0,0.0,7.5,5.0,315.0,2.0,N 
2014-09-30,21.0,33.6,26.1,77.0,5.7,7.6,5.0,315.0,3.0,N 
2014-10-01,21.0,33.8,27.3,72.0,0.0,6.2,3.0,360.0,2.0,NE
2014-10-02,24.0,33.8,27.3,75.0,0.2,7.5,3.0,315.0,3.0,SW
2014-10-03,23.0,34.2,26.8,76.0,0.0,7.9,5.0,360.0,3.0,N 
2014-10-04,22.0,34.0,27.2,68.0,4.7,8.0,6.0,360.0,3.0,N 
2014-10-05,22.0,34.3,26.8,72.0,0.0,6.2,7.0,360.0,3.0,N 
2014-10-06,22.0,32.5,26.5,74.0,0.0,5.1,4.0,360.0,3.0,N 
2014-10-07,21.0,34.4,26.1,77.0,0.1,7.0,4.0,360.0,2.0,N 
2014-10-08,23.0,34.8,26.2,78.0,0.0,7.1,5.0,225.0,3.0,SW
2014-10-09,22.0,35.2,27.4,67.0,11.4,8.0,4.0,360.0,3.0,N 
2014-10-10,22.0,35.6,27.7,59.0,0.0,8.0,6.0,360.0,3.0,N 
2014-10-11,19.0,36.1,26.5,62.0,0.0,8.0,6.0,360.0,4.0,N 
2014-10-12,21.0,35.3,26.3,67.0,0.0,7.2,6.0,45.0,3.0,NE
2014-10-13,23.0,34.0,25.6,80.0,0.0,6.6,9.0,315.0,2.0,SW
2014-10-14,24.0,32.4,27.0,82.0,17.2,5.6,3.0,315.0,3.0,NW
2014-10-15,22.0,33.4,26.2,82.0,0.7,6.4,4.0,360.0,2.0,N 
2014-10-16,23.0,33.4,27.5,78.0,1.2,7.1,4.0,315.0,2.0,NW
2014-10-17,24.0,33.4,27.1,74.0,0.0,7.6,5.0,360.0,2.0,N 
2014-10-18,23.0,34.0,27.6,73.0,0.0,5.9,5.0,45.0,2.0,N 
2014-10-19,23.0,34.0,27.1,74.0,0.0,5.7,5.0,135.0,3.0,S 
2014-10-20,22.0,34.4,27.3,69.0,0.0,7.2,5.0,45.0,3.0,N 
2014-10-21,22.0,34.2,27.7,68.0,0.0,6.7,4.0,45.0,3.0,NE
2014-10-22,23.0,34.2,27.1,74.0,0.0,5.5,4.0,360.0,3.0,N 
2014-10-23,24.0,33.4,26.3,76.0,0.0,6.0,3.0,45.0,2.0,NE
2014-10-24,23.0,33.4,27.5,70.0,7.5,7.7,4.0,45.0,3.0,NE
2014-10-25,21.0,34.8,26.2,77.0,0.0,7.4,4.0,45.0,3.0,NW
